slot_id,time_hour,load_kw,pv_kw,grid_optimized_kw,storage_net_kw_positive_discharge,grid_baseline_no_storage_kw
80,13.3333333333,5714.6836,7053.1371,0,-1338.4535,0
81,13.5,5717.8505,6910.4064,0,-1192.5559,0
82,13.6666666667,5708.2486,6772.4075,0,-1064.1589,0
83,13.8333333333,5696.9182,6607.36,0,-910.4418,0
84,14,5692.2983,6412.5085,0,-720.2102,0
85,14.1666666667,5687.1291,6214.0158,0,-526.8867,0
86,14.3333333333,5678.962,6000.7112,0,-321.7492,0
87,14.5,5669.4508,5766.9816,0,-97.5308,0
88,14.6666666667,5664.1948,5521.5066,0,142.6882,142.6882
89,14.8333333333,5672.7011,5268.781,0,403.9201,403.9201
90,15,5682.2544,5009.7152,672.5392,0,672.5392
91,15.1666666667,5669.0195,4743.4484,1600.39616173,-674.825061728,925.5711
92,15.3333333333,5656.3651,4471.224,1185.1411,0,1185.1411
93,15.5,5657.0867,4188.2025,1468.8842,0,1468.8842
94,15.6666666667,5662.6008,3889.3931,1773.2077,0,1773.2077
95,15.8333333333,5669.2596,3594.5946,2074.665,0,2074.665
96,16,5673.4767,3303.8878,2369.5889,0,2369.5889
97,16.1666666667,5671.0146,2998.4247,2672.5899,0,2672.5899
98,16.3333333333,5661.5926,2687.4131,2974.1795,0,2974.1795
99,16.5,5665.8922,2383.1779,3282.7143,0,3282.7143
100,16.6666666667,5689.0372,2089.1246,3599.9126,0,3599.9126
101,16.8333333333,5603.6614,1791.0829,3812.5785,0,3812.5785
102,17,5466.7124,1501.7283,3964.9841,0,3964.9841
103,17.1666666667,5467.3939,1255.1723,4212.2216,0,4212.2216
104,17.3333333333,5464.727,1036.3323,4428.3947,0,4428.3947
105,17.5,5492.4458,836.7775,4655.6683,0,4655.6683
106,17.6666666667,5621.7308,665.2313,4956.4995,0,4956.4995
107,17.8333333333,5091.2126,516.6758,4574.5368,0,4574.5368
108,18,4208.5688,386.6731,3821.8957,0,3821.8957
109,18.1666666667,4122.7611,275.7933,3191.3643,655.6035,3846.9678
110,18.3333333333,4255.9358,182.9526,4072.9832,0,4072.9832
111,18.5,4225.9524,108.3414,4117.611,0,4117.611
112,18.6666666667,4233.3384,54.3121,4179.0263,0,4179.0263
113,18.8333333333,4246.4625,18.6569,0,4227.8056,4227.8056
114,19,4239.1795,0.2753,0,4238.9042,4238.9042
115,19.1666666667,4244.6684,0.2296,0,4244.4388,4244.4388
116,19.3333333333,4251.9187,0.6007,0,4251.318,4251.318
117,19.5,4256.6813,0,0,4256.6813,4256.6813
118,19.6666666667,4267.3947,0,0,4267.3947,4267.3947
119,19.8333333333,4269.975,0,0,4269.975,4269.975
120,20,4268.6702,0,0,4268.6702,4268.6702
121,20.1666666667,4282.2245,0,0,4282.2245,4282.2245
122,20.3333333333,4291.7049,0,0,4291.7049,4291.7049
123,20.5,4291.3611,0,0,4291.3611,4291.3611
124,20.6666666667,4293.9182,0,0,4293.9182,4293.9182
125,20.8333333333,4295.2135,0,4295.2135,0,4295.2135
126,21,4302.0307,0,4302.0307,0,4302.0307
127,21.1666666667,4320.9618,0,4320.9618,0,4320.9618
128,21.3333333333,4302.3292,0,4302.3292,0,4302.3292
129,21.5,4322.6758,0,4322.6758,0,4322.6758
130,21.6666666667,4428.8083,0,4428.8083,0,4428.8083
131,21.8333333333,4030.1614,0,4030.1614,0,4030.1614
132,22,3362.7419,0,8362.7419,-5000,3362.7419
133,22.1666666667,3309.3934,0,8309.3934,-5000,3309.3934
134,22.3333333333,3412.9563,0,3412.9563,0,3412.9563
135,22.5,3381.9313,0,8381.9313,-5000,3381.9313
136,22.6666666667,3386.5592,0,8386.5592,-5000,3386.5592
137,22.8333333333,3400.4846,0,3400.4846,0,3400.4846
138,23,3399.2426,0,8399.2426,-5000,3399.2426
139,23.1666666667,3406.9809,0,3406.9809,0,3406.9809
140,23.3333333333,3416.1518,0,3416.1518,0,3416.1518
141,23.5,3421.9811,0,8421.9811,-5000,3421.9811
142,23.6666666667,3429.6923,0,5429.6923,-2000,3429.6923
143,23.8333333333,3439.061,0,3439.061,0,3439.061
144,24,3444.7259,0,3444.7259,0,3444.7259
