record_type,ordinal,target_cell,expected,actual,abs_diff,status
slot_grid,75,B76,488.6069666666665,488.6069666666665,0.0,PASS
slot_grid,76,B77,498.2707333333333,498.2707333333333,0.0,PASS
slot_grid,77,B78,0.0,0,0.0,PASS
slot_grid,78,B79,0.0,0,0.0,PASS
slot_grid,79,B80,0.0,0,0.0,PASS
slot_grid,80,B81,0.0,0,0.0,PASS
slot_grid,81,B82,0.0,0,0.0,PASS
slot_grid,82,B83,0.0,0,0.0,PASS
slot_grid,83,B84,0.0,0,0.0,PASS
slot_grid,84,B85,0.0,0,0.0,PASS
slot_grid,85,B86,0.0,0,0.0,PASS
slot_grid,86,B87,0.0,0,0.0,PASS
slot_grid,87,B88,0.0,0,0.0,PASS
slot_grid,88,B89,0.0,0,0.0,PASS
slot_grid,89,B90,0.0,0,0.0,PASS
slot_grid,90,B91,112.0898666666667,112.0898666666667,0.0,PASS
slot_grid,91,B92,266.73269362139905,266.7326936213991,5.684341886080802e-14,PASS
slot_grid,92,B93,197.52351666666664,197.5235166666666,2.842170943040401e-14,PASS
slot_grid,93,B94,244.8140333333332,244.8140333333332,0.0,PASS
slot_grid,94,B95,295.5346166666667,295.5346166666667,0.0,PASS
slot_grid,95,B96,345.77750000000003,345.7775,5.684341886080802e-14,PASS
slot_grid,96,B97,394.9314833333334,394.9314833333334,0.0,PASS
slot_grid,97,B98,445.43165000000005,445.43165,5.684341886080802e-14,PASS
slot_grid,98,B99,495.69658333333325,495.6965833333333,5.684341886080802e-14,PASS
slot_grid,99,B100,547.11905,547.11905,0.0,PASS
slot_grid,100,B101,599.9854333333333,599.9854333333333,0.0,PASS
slot_grid,101,B102,635.42975,635.42975,0.0,PASS
slot_grid,102,B103,660.8306833333334,660.8306833333334,0.0,PASS
slot_grid,103,B104,702.0369333333333,702.0369333333333,0.0,PASS
slot_grid,104,B105,738.0657833333333,738.0657833333333,0.0,PASS
slot_grid,105,B106,775.9447166666666,775.9447166666666,0.0,PASS
slot_grid,106,B107,826.08325,826.08325,0.0,PASS
slot_grid,107,B108,762.4228,762.4228,0.0,PASS
slot_grid,108,B109,636.9826166666667,636.9826166666667,0.0,PASS
slot_grid,109,B110,531.8940499999999,531.8940499999999,0.0,PASS
slot_grid,110,B111,678.8305333333333,678.8305333333333,0.0,PASS
slot_grid,111,B112,686.2685,686.2685,0.0,PASS
slot_grid,112,B113,696.5043833333333,696.5043833333333,0.0,PASS
slot_grid,113,B114,0.0,0,0.0,PASS
slot_grid,114,B115,0.0,0,0.0,PASS
slot_grid,115,B116,0.0,0,0.0,PASS
slot_grid,116,B117,0.0,0,0.0,PASS
slot_grid,117,B118,0.0,0,0.0,PASS
slot_grid,118,B119,0.0,0,0.0,PASS
slot_grid,119,B120,0.0,0,0.0,PASS
slot_grid,120,B121,0.0,0,0.0,PASS
slot_grid,121,B122,0.0,0,0.0,PASS
slot_grid,122,B123,0.0,0,0.0,PASS
slot_grid,123,B124,0.0,0,0.0,PASS
slot_grid,124,B125,0.0,0,0.0,PASS
slot_grid,125,B126,715.8689166666667,715.8689166666667,0.0,PASS
slot_grid,126,B127,717.0051166666667,717.0051166666667,0.0,PASS
slot_grid,127,B128,720.1603,720.1603,0.0,PASS
slot_grid,128,B129,717.0548666666667,717.0548666666667,0.0,PASS
slot_grid,129,B130,720.4459666666667,720.4459666666667,0.0,PASS
slot_grid,130,B131,738.1347166666666,738.1347166666666,0.0,PASS
slot_grid,131,B132,671.6935666666667,671.6935666666667,0.0,PASS
slot_grid,132,B133,1393.7903166666667,1393.790316666667,2.2737367544323206e-13,PASS
slot_grid,133,B134,1384.8989000000001,1384.8989,2.2737367544323206e-13,PASS
slot_grid,134,B135,568.82605,568.82605,0.0,PASS
slot_grid,135,B136,1396.98855,1396.98855,0.0,PASS
slot_grid,136,B137,1397.7598666666668,1397.759866666667,2.2737367544323206e-13,PASS
slot_grid,137,B138,566.7474333333333,566.7474333333333,0.0,PASS
slot_grid,138,B139,1399.8737666666666,1399.873766666667,4.547473508864641e-13,PASS
slot_grid,139,B140,567.83015,567.83015,0.0,PASS
slot_grid,140,B141,569.3586333333334,569.3586333333334,0.0,PASS
slot_grid,141,B142,1403.6635166666667,1403.663516666667,2.2737367544323206e-13,PASS
slot_grid,142,B143,904.9487166666668,904.9487166666668,0.0,PASS
slot_grid,143,B144,573.1768333333333,573.1768333333333,0.0,PASS
slot_grid,144,B145,574.1209833333334,574.1209833333334,0.0,PASS
4h_charge_kwh,1,B2,4500.0,4500,0.0,PASS
4h_discharge_kwh,1,C2,0.0,0,0.0,PASS
4h_charge_kwh,2,B3,833.3333333333334,833.3333333333334,0.0,PASS
4h_discharge_kwh,2,C3,6365.840191521346,6365.840191521346,0.0,PASS
4h_charge_kwh,3,B4,4787.963043030471,4787.963043030471,0.0,PASS
4h_discharge_kwh,3,C4,1702.9969833333334,1702.996983333333,4.547473508864641e-13,PASS
4h_charge_kwh,4,B5,5286.035176954732,5286.035176954732,0.0,PASS
4h_discharge_kwh,4,C5,91.10138333333339,91.10138333333339,0.0,PASS
4h_charge_kwh,5,B6,0.0,0,0.0,PASS
4h_discharge_kwh,5,C6,5780.1318833333335,5780.131883333333,9.094947017729282e-13,PASS
4h_charge_kwh,6,B7,5333.333333333334,5333.333333333334,0.0,PASS
4h_discharge_kwh,6,C7,2859.8681166666665,2859.868116666667,4.547473508864641e-13,PASS
soc_endpoint,1,E2,6000,6000,0.0,PASS
soc_endpoint,145,E3,6000,6000,0.0,PASS
